Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Gut (2012), Drama| Horror| Thriller,2012/10/26,USA,3.9,91
The Haunting of Mia Moss (2017), Horror,2017/01/13,USA,-1,-1
Sleepwalking (2017), Horror,2017/10/21,Canada,-1,-1
Treasure Chest of Horrors II (2013), Comedy| Horror| Thriller,2013/04/23,USA,3.7,82
Infidus (2015), Crime| Drama| Horror,2015/04/10,USA,5.8,80
In Extremis (2017), Horror| Thriller,2017/01/01,UK,-1,93
Ghostlight (2013), Drama| Horror| Thriller,2014/06/03,USA,5.1,90
Parasyte: Part 2 (2015), Action| Drama| Horror| Sci-Fi,2015/04/25,Japan,6.5,117
Stranger in the House (2015), Horror| Mystery| Thriller,2017/05/28,Spain,4.6,90
Tutak Tutak Tutiya (2016), Comedy| Horror,2016/10/07,India,5.4,138
The Strange House (2015), Horror,2015/07/24,China,5.3,87
Rise of the Animals (2011), Adventure| Comedy| Horror,2012/05/01,USA,3.6,70
When Death Calls (2012), Horror,2012/04/28,USA,5.9,91
Dark Medicine (2013), Horror| Sci-Fi,2013/01/01,USA,2.8,72
Sexy Durga (2017), Drama| Fantasy| Horror| Mystery| Thriller,2017/03/21,USA,5.9,85
Circus of the Dead (2014), Action| Horror| Thriller,2017/01/13,USA,6,102
Zombie Resurrection (2014), Horror,2015/03/23,UK,2.7,86
Falling (2016), Drama| Horror| Romance| Thriller,2016/04/08,USA,7.1,105
Bad Behavior (2015), Horror,2015/10/27,USA,-1,64
Devil's Tower (2014), Horror,2014/09/16,UK,3.4,82
I Am ZoZo (2012), Horror| Thriller,2012/02/18,USA,3.6,85
Before Dawn (2013), Horror,2013/06/08,Japan,4.7,82
Apparition (2015), Fantasy| Horror| Thriller,2015/05/05,USA,4,100
Darkroom (2017), Drama| Horror,2017/01/18,Philippines,6.6,95
Don't Look in the Basement 2 (2015), Horror| Thriller,2016/05/25,USA,4,88
2: Voodoo Academy (2012), Horror,2012/10/01,USA,4.5,75
Return of the Killer Shrews (2012), Horror,2012/01/01,USA,2.7,84
Slaughter Drive (2017), Horror,2017/10/12,USA,-1,-1
Septic Man (2013), Horror,2014/08/15,USA,4.1,83
The Perfect House (2013), Horror,2013/01/01,USA,4.3,84
Her Cry: La Llorona Investigation (2013), Horror,2013/04/19,USA,5.4,89
The Canadoo (2016), Horror,2016/11/02,USA,4,74
Inoperable (2017), Horror,2017/01/01,USA,-1,-1
Hellriser (2017), Horror,2017/10/09,UK,5,75
Yaamirukka Bayamey (2014), Comedy| Horror,2014/05/09,India,7.2,125
Grindsploitation (2016), Action| Crime| Horror| Sci-Fi| Thriller,2016/10/31,USA,6.2,140
Ular Tangga (2017), Horror| Thriller,2017/03/09,Indonesia,7.1,-1
Ek Thi Daayan (2013), Horror| Romance| Thriller,2013/04/18,India,5.7,135
Haunted House on Sorority Row (2014), Horror,2014/02/21,USA,5.6,81
Victimized (2014), Drama| Horror| Thriller,2014/09/27,USA,6.9,80
The Unwanted (2014), Drama| Horror| Mystery| Romance,2014/03/31,USA,4,95
