Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Gut (2012), Drama| Horror| Thriller,26-Oct-12,USA,3.9,91 min
The Haunting of Mia Moss (2017), Horror,13-Jan-17,USA,,
Sleepwalking (2017), Horror,21-Oct-17,Canada,,
Treasure Chest of Horrors II (2013), Comedy| Horror| Thriller,23-Apr-13,USA,3.7,82 min
Infidus (2015), Crime| Drama| Horror,10-Apr-15,USA,5.8,80 min
In Extremis (2017), Horror| Thriller,2017,UK,,93 min
Ghostlight (2013), Drama| Horror| Thriller,3-Jun-14,USA,5.1,90 min
Parasyte: Part 2 (2015), Action| Drama| Horror| Sci-Fi,25-Apr-15,Japan,6.5,117 min
Stranger in the House (2015), Horror| Mystery| Thriller,28-May-17,Spain,4.6,90 min
Tutak Tutak Tutiya (2016), Comedy| Horror,7-Oct-16,India,5.4,138 min
The Strange House (2015), Horror,24-Jul-15,China,5.3,87 min
Rise of the Animals (2011), Adventure| Comedy| Horror,1-May-12,USA,3.6,70 min
When Death Calls (2012), Horror,28-Apr-12,USA,5.9,91 min
Dark Medicine (2013), Horror| Sci-Fi,2013,USA,2.8,72 min
Sexy Durga (2017), Drama| Fantasy| Horror| Mystery| Thriller,21-Mar-17,USA,5.9,85 min
Circus of the Dead (2014), Action| Horror| Thriller,13-Jan-17,USA,6,102 min
Zombie Resurrection (2014), Horror,23-Mar-15,UK,2.7,86 min
Falling (2016), Drama| Horror| Romance| Thriller,8-Apr-16,USA,7.1,105 min
Bad Behavior (2015), Horror,27-Oct-15,USA,,64 min
Devil's Tower (2014), Horror,16-Sep-14,UK,3.4,82 min
I Am ZoZo (2012), Horror| Thriller,18-Feb-12,USA,3.6,85 min
Before Dawn (2013), Horror,8-Jun-13,Japan,4.7,82 min
Apparition (2015), Fantasy| Horror| Thriller,5-May-15,USA,4,100 min
Darkroom (2017), Drama| Horror,18-Jan-17,Philippines,6.6,95 min
Don't Look in the Basement 2 (2015), Horror| Thriller,25-May-16,USA,4,88 min
2: Voodoo Academy (2012), Horror,1-Oct-12,USA,4.5,75 min
Return of the Killer Shrews (2012), Horror,2012,USA,2.7,84 min
Slaughter Drive (2017), Horror,12-Oct-17,USA,,
Septic Man (2013), Horror,15-Aug-14,USA,4.1,83 min
The Perfect House (2013), Horror,2013,USA,4.3,84 min
Her Cry: La Llorona Investigation (2013), Horror,19-Apr-13,USA,5.4,89 min
The Canadoo (2016), Horror,2-Nov-16,USA,4,74 min
Inoperable (2017), Horror,2017,USA,,
Hellriser (2017), Horror,9-Oct-17,UK,5,75 min
Yaamirukka Bayamey (2014), Comedy| Horror,9-May-14,India,7.2,125 min
Grindsploitation (2016), Action| Crime| Horror| Sci-Fi| Thriller,31-Oct-16,USA,6.2,140 min
Ular Tangga (2017), Horror| Thriller,9-Mar-17,Indonesia,7.1,
Ek Thi Daayan (2013), Horror| Romance| Thriller,18-Apr-13,India,5.7,135 min
Haunted House on Sorority Row (2014), Horror,21-Feb-14,USA,5.6,81 min
Victimized (2014), Drama| Horror| Thriller,27-Sep-14,USA,6.9,80 min
The Unwanted (2014), Drama| Horror| Mystery| Romance,31-Mar-14,USA,4,95 min
Hotel Inferno (2013), Action| Horror,16-Dec-13,USA,4.7,80 min
Demonte Colony (2015), Horror| Thriller,22-May-15,India,7,116 min
The Onania Club (2017), Drama| Horror| Thriller,2017,USA,,
Play Motel (1979), Crime| Horror| Romance| Thriller,25-Aug-15,USA,5.3,90 min
Turned (2015), Drama| Horror,4-Sep-15,USA,7.3,
Miss Zombie (2013), Horror,14-Sep-13,Japan,6.3,85 min
Bloody Chainsaw Girl (2016), Action| Horror,20-Feb-16,Japan,4.6,
Fatal Frame (2014), Horror,26-Sep-14,Japan,5.8,104 min
Visceral: Entre las cuerdas de la locura (2012), Horror,29-Nov-12,Chile,5.4,69 min
The Dark Castle (2015), Horror| Thriller,28-Mar-15,Indonesia,,80 min
The Ouija Exorcism (2015), Horror,6-Oct-15,USA,2.1,87 min
Soldiers of the Damned (2015), Action| Horror| Thriller| War,8-Aug-15,UK,3.6,99 min
Smothered (2016), Comedy| Horror,29-Mar-16,USA,4.1,96 min
Necrophobia 3D (2014), Horror| Mystery| Thriller,19-Sep-14,USA,4.2,75 min
Roommate (2013), Drama| Horror| Thriller,9-Nov-13,Japan,5.9,
Kawan Aku Mati Dalam Rumah Sewa (2014), Comedy| Horror,14-Aug-14,Malaysia,,
Hate Crime (2012), Action| Horror| Thriller,2012,USA,5.1,73 min
Scars (2016), Horror,23-Jan-17,UK,3.9,108 min
Legend Has It (2009), Horror,17-Sep-14,UK,4.1,95 min
Sociopathia (2015), Horror,19-Nov-15,USA,4.3,86 min
Echoes (2014), Drama| Horror| Thriller,18-May-15,Sweden,4.4,93 min
In the Dark (2015), Horror| Thriller,6-Oct-15,USA,4.1,85 min
Dabbe: Bir Cin Vakasi (2012), Horror,3-Aug-12,Turkey,6.3,119 min
The Haunter of the Dark (2015), Horror| Thriller,28-Jan-15,Russia,6.9,83 min
Hectic Knife (2016), Action| Comedy| Horror,28-Jul-16,USA,6.6,
Toxin: 700 Days Left on Earth (2015), Action| Drama| Horror,19-Apr-15,USA,8.4,
La Niña de la Mina (2016), Horror,1-Jul-16,Mexico,3.8,82 min
Beneath the Old Dark House (2015), Horror,13-Mar-15,USA,6.5,
Stag Hunt (2015), Adventure| Comedy| Drama| Fantasy| Horror| Thriller,16-May-15,USA,3.6,94 min
Fetish Dolls Die Laughing (2012), Comedy| Fantasy| Horror,24-Apr-12,USA,2,100 min
Shame the Devil (2013), Crime| Horror| Thriller,9-Sep-14,USA,3.5,94 min
Holla II (2013), Comedy| Horror,19-Apr-13,USA,6.9,90 min
Made Me Do It (2017), Drama| Fantasy| Horror| Thriller,29-Sep-17,USA,8.3,90 min
The Tale of the Voodoo Prostitute (2012), Horror,5-Jun-12,USA,4.1,75 min
Necrophile Passion (2013), Horror,18-Aug-13,Germany,3.1,52 min
Killer Campout (2017), Horror,21-Jul-17,USA,5.8,86 min
Honeyspider (2014), Horror| Thriller,18-Oct-14,USA,3.5,76 min
Pinwheel (2017), Horror,10-Jan-17,USA,4.7,88 min
Dead Walkers: Rise of the 4th Reich (2013), Horror,31-Jul-13,USA,1.4,75 min
Demon Tongue (2016), Horror,21-Jun-16,USA,2.3,85 min
Depth (2016), Horror| Sci-Fi,2016,USA,7.2,
Parasitic (2012), Horror| Sci-Fi,26-Jun-12,USA,2.2,79 min
True Love Ways (2015), Horror| Thriller,1-Oct-15,Germany,5.7,95 min
Hole (2010), Crime| Horror| Thriller,24-Nov-15,USA,4.9,94 min
Loverboy (2012), Horror| Thriller,17-Mar-12,USA,5.1,93 min
The Litch (2017), Horror,2017,USA,,
House with 100 Eyes (2013), Horror,2013,USA,4.6,75 min
3 A.M. 3D: Part 2 (2014), Horror,16-Jan-14,Thailand,5.1,105 min
Da Possessed (2014), Comedy| Horror,19-Apr-14,Philippines,5.9,120 min
Sacrament (2014), Drama| Horror| Thriller,7-Jul-14,USA,3.5,105 min
Angels Fallen (2017), Horror,2017,USA,,
Bilocation (2013), Drama| Horror| Mystery,18-Jan-14,Japan,6.3,
Visitantes (2014), Horror,18-Dec-14,Mexico,4.9,100 min
Dracula 2012 (2013), Horror,8-Feb-13,India,2.5,137 min
The House Across the Street (2013), Horror| Thriller,10-Apr-15,USA,3.5,93 min
Grimmerson Manor (2017), Horror| Thriller,31-Oct-17,USA,,
Murder in Miami (2014), Horror| Mystery| Thriller,18-Feb-14,USA,5.4,87 min
Mumbai 125 KM 3D (2014), Adventure| Horror| Mystery| Thriller,17-Oct-14,India,2.9,100 min
The Nanabijou Tapes (2014), Horror| Mystery| Thriller,15-Aug-14,USA,7.9,80 min
Bad Building (2015), Horror,6-Aug-15,USA,3,75 min
The Flaying (2012), Fantasy| Horror| Thriller,17-Jul-12,Argentina,4.9,80 min
Bunni (2013), Horror,14-Sep-13,USA,4.2,60 min
Seventy-Nine (2013), Action| Horror| Mystery| Sci-Fi| Thriller,8-Jun-17,USA,3.8,82 min
Hush Up Sweet Charlotte (2015), Comedy| Horror,16-Oct-15,USA,6.6,95 min
Paranoia Tapes (2017), Horror,11-Jul-17,USA,4.7,92 min
Valentine DayZ (2017), Horror,2017,USA,,
Voodoo Possession (2014), Drama| Horror| Mystery,14-Jan-14,USA,2.4,94 min
Diane (2017), Crime| Drama| Horror| Mystery| Thriller,28-Oct-17,USA,5.6,82 min
Entrance (2012), Drama| Horror| Thriller,18-May-12,USA,4.8,83 min
