listing_id,name,neighbourhood,district,city,property_type,room_type,accommodates,amenities,price,review_scores_rating
281420,"Beautiful Flat in le Village Montmartre, Paris",Buttes-Montmartre,,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",53,100
3705183,39 mÂ² Paris (Sacre CÅ“ur),Buttes-Montmartre,,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Wifi"", ""Long term stays allowed""]",120,100
4082273,"Lovely apartment with Terrace, 60m2",Elysee,,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",89,100
4797344,Cosy studio (close to Eiffel tower),Vaugirard,,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Wifi"", ""Long term stays allowed""]",58,100
4823489,Close to Eiffel Tower - Beautiful flat : 2 rooms,Passy,,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Bathtub"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",60,100
4898654,NEW - Charming apartment Le Marais,Temple,,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",95,100
6021700,2P - Entre Bastille et Republique,Popincourt,,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""TV"", ""Kitchen"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed""]",80,100
6945740,57sqm btw. Bastille & PÃ¨re Lachaise,Popincourt,,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",59,100
7491966,Charming appartment near the Parc Buttes Chaumont,Buttes-Chaumont,,Paris,Entire apartment,Entire place,2,"[""Paid parking off premises"", ""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Cable TV""]",80,100
7849932,Bel appartement plein de charme !,Opera,,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",90,100
